Filename,File Size,Creation Date,Original Path
update-log-20240714-232413.log,2.22 KB,07-14-24,/Users/steven
update-check-log-20240724-154454.log,1.84 KB,07-24-24,/Users/steven
update-log-20240711-110801.log,3.22 KB,07-11-24,/Users/steven
mp3toMp4.sh,1.38 KB,06-12-24,/Users/steven
update-log-20240715-205951.log,2.63 KB,07-18-24,/Users/steven
update-log-20240711-110741.log,155.00 B,07-11-24,/Users/steven
index.html,58.35 KB,07-23-24,/Users/steven
1down.sh,0.00 B,07-17-24,/Users/steven
update-check-log-20240715-185957.log,1.69 KB,07-15-24,/Users/steven
Lockh.zip,10.25 MB,07-21-24,/Users/steven
Abstract Styles.asl,2.16 MB,06-12-24,/Users/steven
file_operations.log,1.54 KB,07-11-24,/Users/steven
update-log-20240714-054028.log,2.88 KB,07-14-24,/Users/steven
Photo Collage Styles.asl,11.50 KB,06-12-24,/Users/steven
Photo Collage Text Styles.asl,45.95 KB,06-12-24,/Users/steven
widgpt.js,25.87 KB,06-18-24,/Users/steven
update-log-20240712-022212.log,2.51 KB,07-12-24,/Users/steven
transcribe_mp3.py,1.41 KB,07-21-24,/Users/steven
miniconda.sh,106.91 MB,07-18-24,/Users/steven
update-log-20240723-163328.log,19.06 KB,07-23-24,/Users/steven
"ESO, Vvardenfell, Ancestral Ties Tomb Location ｜ Ashlander Daily [x821Xwm1FoU].mp3",2.36 MB,07-16-24,/Users/steven
downs.sh,380.00 B,07-17-24,/Users/steven
update-log-20240713-100649.log,2.21 KB,07-13-24,/Users/steven
venvs_cleanup_dryrun.log,268.00 B,07-16-24,/Users/steven
down.sh,371.00 B,07-16-24,/Users/steven
check-update.sh,6.36 KB,07-24-24,/Users/steven
update-check-log-20240715-205927.log,571.00 B,07-15-24,/Users/steven
create_venv.sh,252.00 B,06-11-24,/Users/steven
install.log,662.00 B,06-17-24,/Users/steven
venvs_diagnostics.log,257.00 B,07-16-24,/Users/steven
back-fix.sh,1.24 KB,07-17-24,/Users/steven
AllStyles.asl,93.65 MB,06-12-24,/Users/steven
update-check-log-20240715-184129.log,4.53 MB,07-15-24,/Users/steven
back-clean.sh,994.00 B,07-15-24,/Users/steven
update-log-20240712-224101.log,2.25 KB,07-12-24,/Users/steven
Don't Wanna See You No More-xylo.mp3,4.95 MB,06-18-24,/Users/steven/Music
vioLinA.mp3,1006.97 KB,06-13-24,/Users/steven/Music
Brave.mp3,7.12 MB,06-13-24,/Users/steven/Music
Backgroundjam-145.MP3,1.61 MB,07-14-24,/Users/steven/Music
moonbeam - ran the man -306.mp3,5.58 MB,06-18-24,/Users/steven/Music
Psybient Mix.mp3,120.71 MB,06-13-24,/Users/steven/Music
Away From You — Mauro Somm   Free Background Music   Audio Library Release.mp3,3.86 MB,06-13-24,/Users/steven/Music
atlas2.mp3,406.57 KB,07-14-24,/Users/steven/Music
rain.mp3,4.74 MB,06-13-24,/Users/steven/Music
01 10 Million Thoughts (Guspire Remix).mp3,7.65 MB,06-13-24,/Users/steven/Music
Atlas1.mp3,201.47 KB,07-14-24,/Users/steven/Music
Steel.mp3,611.67 KB,07-14-24,/Users/steven/Music
[ESO] AvAtAr MoD  🔥  Final Form back to Norm 👀.mp3,1.13 MB,06-13-24,/Users/steven/Music
AI Music Generator - Generate Music for Free(2).mp3,1.40 MB,07-23-24,/Users/steven/Music
Star Wars The Mandalorian Theme   1 Hour Epic Music Mix.mp3,54.95 MB,06-13-24,/Users/steven/Music
[ESO] Online MoonHunters Keep Blind Run..mp3,7.91 MB,06-13-24,/Users/steven/Music
Suno.mp3,1.97 MB,07-23-24,/Users/steven/Music
journey through the desert.mp3,1.36 MB,06-13-24,/Users/steven/Music
Perez.mp3,577.39 KB,07-14-24,/Users/steven/Music
Pi-Fin.mp3,407.80 KB,07-14-24,/Users/steven/Music
Fault.mp3,724.94 KB,07-14-24,/Users/steven/Music
KR.mp3,468.41 KB,07-14-24,/Users/steven/Music
AlleyNeTch.mp3,1.28 MB,06-13-24,/Users/steven/Music
invideo-ai-480 The Epic Saga of Greek Mythology_ Titans 2024-02-02(1).mp3,4.61 MB,07-14-24,/Users/steven/Music
Eternity - [Short Cinematic Soundtrack] - 30 Seconds of Epic Orchestral Music.mp3,512.96 KB,06-13-24,/Users/steven/Music
GTrivia.mp3,86.84 MB,07-14-24,/Users/steven/Music
FF.mp3,326.37 KB,07-14-24,/Users/steven/Music
AI Music Generator - Generate Music for Free.mp3,1.72 MB,07-23-24,/Users/steven/Music
AI Music Generator - Generate Music for Free(1).mp3,2.09 MB,07-23-24,/Users/steven/Music
hallows.mp3,521.67 KB,07-14-24,/Users/steven/Music
wasted years.mp3,2.73 MB,06-13-24,/Users/steven/Music
LvL.mp3,312.29 KB,07-14-24,/Users/steven/Music
The Summer Ambient   Uplifting Background Music   No Copyright   30 sec.mp3,607.92 KB,06-13-24,/Users/steven/Music
StarWarsMix.mp3.zip,54.74 MB,07-19-24,/Users/steven/Music
invideo-ai-480 American Disaster_ Project 2025 Unveiled 2024-07-09.mp3,4.74 MB,07-14-24,/Users/steven/Music
Bricks.mp3,318.41 KB,07-14-24,/Users/steven/Music
65f3ad34-1c6c-4e64-8c42-4659d5da8968.zip,6.62 MB,06-19-24,/Users/steven/Music/Suno-Music
844a1067-8f30-48b9-a967-ee36745e13fe.zip,48.64 MB,06-19-24,/Users/steven/Music/Suno-Music
5d71ee17-6ea3-4ff2-8ce9-3375a3a43d52.zip,27.96 MB,06-19-24,/Users/steven/Music/Suno-Music
3e5f8ca3-c820-445c-8dfe-be49b1546445.zip,6.57 MB,06-19-24,/Users/steven/Music/Suno-Music
9b803b5d-d9a4-4578-b522-92738889c449.zip,6.87 MB,06-19-24,/Users/steven/Music/Suno-Music
2024-06-14-conversations.zip,485.94 KB,06-19-24,/Users/steven/Music/Suno-Music
suno.html,326.01 KB,06-14-24,/Users/steven/Music/Suno-Music/new
309 songWhere I Hide Sammy's Sad Serenade under the Willow Tree - Lost to a Hosling Alley Cat.mp3,4.35 MB,07-16-24,/Users/steven/Music/canva-jams
Moonlight Night.mp3,6.54 MB,07-19-24,/Users/steven/Music/TrashyCd
HeartBreak Alley.mp3,4.37 MB,07-19-24,/Users/steven/Music/TrashyCd
Recycled Symphony.mp3,4.19 MB,06-19-24,/Users/steven/Music/TrashyCd
Royalty of Refuse.mp3,5.22 MB,06-20-24,/Users/steven/Music/TrashyCd
Junkyard Symphony Scraps.mp3,4.39 MB,06-19-24,/Users/steven/Music/TrashyCd
Junkyard Moon Symphony.mp3,4.11 MB,06-19-24,/Users/steven/Music/TrashyCd
Junkyard symphony from hearts.mp3,5.37 MB,06-19-24,/Users/steven/Music/TrashyCd
Dumpster Brew.mp3,6.25 MB,07-19-24,/Users/steven/Music/TrashyCd
JunkYard Destiny.mp3,4.99 MB,06-19-24,/Users/steven/Music/TrashyCd
Anti-Love Struck.mp3,2.12 MB,06-19-24,/Users/steven/Music/TrashyCd
Junkyard Kings.mp3,5.49 MB,06-19-24,/Users/steven/Music/TrashyCd
Sammy's Serenade.mp3,5.38 MB,06-20-24,/Users/steven/Music/TrashyCd
Cannon Blastin.mp3,3.79 MB,06-19-24,/Users/steven/Music/TrashyCd
Star Wars The Mandalorian Theme   1 Hour Epic Music Mix.mp3,54.95 MB,07-19-24,/Users/steven/Music/TrashyCd
Let's Get Trashy.mp3,4.14 MB,06-19-24,/Users/steven/Music/TrashyCd
Concrete Jungle Rumble.mp3,4.86 MB,06-19-24,/Users/steven/Music/TrashyCd
Turning Trash Into Treasure.mp3,3.85 MB,06-20-24,/Users/steven/Music/TrashyCd
Hope from Broken Parts.mp3,4.19 MB,06-20-24,/Users/steven/Music/TrashyCd
