Filename,Duration,File Size,Creation Date,Original Path
Don't Wanna See You No More-xylo.mp3,3:36,4.95 MB,06-18-24,/Users/steven/Music/Don't Wanna See You No More-xylo.mp3
vioLinA.mp3,0:51,1006.97 KB,06-13-24,/Users/steven/Music/vioLinA.mp3
Brave.mp3,3:51,7.12 MB,06-13-24,/Users/steven/Music/Brave.mp3
moonbeam - ran the man -306.mp3,3:07,5.58 MB,06-18-24,/Users/steven/Music/moonbeam - ran the man -306.mp3
Psybient Mix.mp3,2:11:50,120.71 MB,06-13-24,/Users/steven/Music/Psybient Mix.mp3
Away From You — Mauro Somm   Free Background Music   Audio Library Release.mp3,4:12,3.86 MB,06-13-24,/Users/steven/Music/Away From You — Mauro Somm   Free Background Music   Audio Library Release.mp3
rain.mp3,3:26,4.74 MB,06-13-24,/Users/steven/Music/rain.mp3
01 10 Million Thoughts (Guspire Remix).mp3,4:08,7.65 MB,06-13-24,/Users/steven/Music/01 10 Million Thoughts (Guspire Remix).mp3
[ESO] AvAtAr MoD  🔥  Final Form back to Norm 👀.mp3,0:36,1.13 MB,06-13-24,/Users/steven/Music/[ESO] AvAtAr MoD  🔥  Final Form back to Norm 👀.mp3
Star Wars The Mandalorian Theme   1 Hour Epic Music Mix.mp3,1:00:00,54.95 MB,06-13-24,/Users/steven/Music/Star Wars The Mandalorian Theme   1 Hour Epic Music Mix.mp3
[ESO] Online MoonHunters Keep Blind Run..mp3,8:38,7.91 MB,06-13-24,/Users/steven/Music/[ESO] Online MoonHunters Keep Blind Run..mp3
journey through the desert.mp3,0:59,1.36 MB,06-13-24,/Users/steven/Music/journey through the desert.mp3
TrashCaTs - HeartBreak aLLey by @avatararts ｜ Suno (1) [08ec1b4a-6a61-4c47-92eb-f3b9e9a9bb44-1].mp3,0:30,1.14 MB,06-21-24,/Users/steven/Music/TrashCaTs - HeartBreak aLLey by @avatararts ｜ Suno (1) [08ec1b4a-6a61-4c47-92eb-f3b9e9a9bb44-1].mp3
AlleyNeTch.mp3,3:43,1.28 MB,06-13-24,/Users/steven/Music/AlleyNeTch.mp3
Eternity - [Short Cinematic Soundtrack] - 30 Seconds of Epic Orchestral Music.mp3,0:32,512.96 KB,06-13-24,/Users/steven/Music/Eternity - [Short Cinematic Soundtrack] - 30 Seconds of Epic Orchestral Music.mp3
Song for the Witcher by _killeen _ Suno.mp3,0:30,1.14 MB,06-18-24,/Users/steven/Music/Song for the Witcher by _killeen _ Suno.mp3
wasted years.mp3,1:59,2.73 MB,06-13-24,/Users/steven/Music/wasted years.mp3
The Summer Ambient   Uplifting Background Music   No Copyright   30 sec.mp3,0:30,607.92 KB,06-13-24,/Users/steven/Music/The Summer Ambient   Uplifting Background Music   No Copyright   30 sec.mp3
Moonlight Night.mp3,2:51,6.54 MB,06-19-24,/Users/steven/Music/TrashyCd/Moonlight Night.mp3
HeartBreak Alley.mp3,1:54,4.37 MB,06-19-24,/Users/steven/Music/TrashyCd/HeartBreak Alley.mp3
Recycled Symphony.mp3,3:02,4.19 MB,06-19-24,/Users/steven/Music/TrashyCd/Recycled Symphony.mp3
Royalty of Refuse.mp3,3:47,5.22 MB,06-20-24,/Users/steven/Music/TrashyCd/Royalty of Refuse.mp3
