Filename,File Size,Creation Date,Original Path
Dusty_Rhymes_and_Whispers_transcript-1_2_1_1.txt,354.00 B,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Beautiful_Mess_Indie_Folk_Acoustic_analysis 1.txt,2.66 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-folk-355_analysis 2.txt,3.08 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Beautiful_Mess_v4_transcript 1.txt,1.66 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Bite_in_the_Night_analysis2_1_1.txt,4.04 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2-v4_analysis 1.txt,2.61 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats in the Dark_transcription.txt,2.22 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_Yesterday-v4_analysis 1.txt,2.83 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammys_Serenade_(Remastered)_analysis 1.txt,3.52 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Beautiful_Mess_Whimsical_Story_analysis 2.txt,1.59 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-folk-355_analysis 3.txt,1.19 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes-of-Yesterday_analysis2_1_1.txt,3.16 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_Whispers_analysis2_1_1.txt,3.07 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes-of-yesterday-remastered_analysis 2.txt,1.37 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Kings and Queens of Litter_transcription.txt,2.32 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-og_analysis_2_1.txt,2.58 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Beautiful_Mess_Indie_Folk_Acoustic_analysis 2.txt,1.95 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-folk-355_analysis 1.txt,2.87 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark_Soft_Whispers_analysis_2_1.txt,2.73 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Kings_and_Queens_of_Litter_(Remastered)1_2_analysis2_1_1.txt,2.96 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammys_Serenade_(Remastered)_analysis 3.txt,1.45 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2-v4_analysis 2.txt,1.76 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_Yesterday-v4_analysis 2.txt,1.83 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Kings_and_Queens_of_Litter_(Remastered)1_2_transcript-1_1_1.txt,2.61 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in-this--aLLey-where-i-hiDe_1_1_transcript 1.txt,1.10 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammys_Serenade_(Remastered)_analysis 2.txt,2.88 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Witches Road (Remastered)_analysis 1.txt,3.01 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
albums-structure copy.txt,888.00 B,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Beautiful_Mess_Whimsical_Story_analysis 1.txt,2.80 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
ChatGPT_Conversation (2).txt,46.02 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
No More Love Songs_analysis 1.txt,3.36 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Blues-in-the-Moonlit-Nights_analysis2_1_1.txt,3.40 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark-v4_2_transcript_2_1.txt,2.34 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes-of-yesterday-remastered_analysis 1.txt,3.38 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
